store_nbr,city,state,store_type,cluster,total_sales,total_transactions,average_daily_transactions,median_daily_transactions,transaction_observation_count,unusual_transaction_days,sales_volume_per_transaction,sales_transactions_correlation,rank_total_transactions,rank_sales_volume_per_transaction
25,Salinas,Santa Elena,D,1,11387538.4275745,1520362,941.4006191950465,819.0,1615,135,7.490017790220027,0.8516411014485866,41,28
26,Guayaquil,Guayas,D,10,7747462.2198648,1065059,634.7193087008343,591.0,1678,43,7.274209428646488,0.4563602447253241,49,32
27,Daule,Guayas,D,1,19150340.6425542,2485687,1482.222420989863,1449.0,1677,3,7.704244598195268,0.804772365238477,21,24
28,Guayaquil,Guayas,E,10,18347543.8009309,1957594,1167.3190220632082,1116.0,1677,14,9.372496953367705,0.8240076596683883,34,9
29,Guayaquil,Guayas,E,10,9698218.602084,981448,1122.938215102975,1090.0,874,13,9.8815409497844,0.822389626500356,50,4
30,Guayaquil,Guayas,C,3,7376319.329963,1171130,707.6314199395771,701.0,1655,50,6.298463304639963,0.4139169213995564,46,46
31,Babahoyo,Los Rios,B,10,17726637.725507,2306044,1374.2812872467223,1329.0,1678,32,7.687033606256862,0.7566259261579458,25,25
32,Guayaquil,Guayas,C,3,5944584.2388495,1065226,635.1973762671437,615.0,1677,35,5.58058500153911,0.3740612529388402,48,49
33,Quevedo,Los Rios,C,3,14164983.511449,1743003,1038.738379022646,1016.0,1678,15,8.126769438405441,0.40389948989046803,37,19
34,Guayaquil,Guayas,B,6,17074183.12515,3864018,2302.752085816448,2275.5,1678,22,4.418763868374836,0.41047854490784663,11,54
35,Playas,Guayas,C,3,7659812.9936796,1123889,670.5781622911694,656.0,1676,25,6.815453299818398,0.5264141549740958,47,36
36,Libertad,Guayas,E,10,15291912.058582,1738129,1120.6505480335268,1098.0,1551,30,8.797915493373623,0.7530231378284714,38,12
37,Cuenca,Azuay,D,2,19955202.6164744,2481719,1478.9743742550656,1481.0,1678,34,8.04087917144302,0.4237418188316585,22,21
38,Loja,Loja,D,4,18841221.7605296,2867052,1708.6126340882001,1585.0,1678,21,6.571635868665654,0.5649357074356169,18,41
39,Cuenca,Azuay,B,6,20231098.810536,2389482,1424.0059594755662,1362.0,1678,29,8.466729948388814,0.41080497519415393,23,16
40,Machala,El Oro,C,3,18363885.352968,2181195,1300.6529516994633,1299.0,1677,14,8.41918551664019,0.6678694429688863,30,17
41,Machala,El Oro,D,4,14961898.1295844,1764146,1051.9654144305307,1005.0,1677,29,8.481099710332591,0.7992041258300163,36,15
42,Cuenca,Azuay,D,2,8912088.9411627,802646,1114.786111111111,1053.0,720,12,11.103386724860897,0.8370998518890708,52,2
43,Esmeraldas,Esmeraldas,E,10,16353801.8229046,2182356,1305.2368421052631,1288.0,1672,22,7.4936453185935745,0.6626634414797392,29,27
44,Quito,Pichincha,A,5,61960852.420019,7273093,4336.966607036375,4170.0,1677,23,8.51918879904588,0.6717441010096852,1,14
45,Quito,Pichincha,A,11,54373387.396674,6201115,3697.7429934406678,3515.0,1677,19,8.768324308882192,0.6862632996636774,3,13
46,Quito,Pichincha,A,14,41806761.6046342,5990113,3571.921884317233,3230.0,1677,48,6.979294314587087,0.7614864796725446,4,35
47,Quito,Pichincha,A,14,50837882.211011,6535810,3897.3225998807393,3685.0,1677,23,7.778359868327109,0.6595048503541819,2,23
48,Quito,Pichincha,A,14,35850735.9919685,5107785,3045.7871198568873,2705.0,1677,59,7.018842020948121,0.8048371356528109,6,34
49,Quito,Pichincha,A,11,43319438.651748,4574103,2727.550983899821,2671.0,1677,23,9.470586615943716,0.7959132005843987,8,7
50,Ambato,Tungurahua,A,14,28597327.1496853,4384444,2614.4567680381633,2448.0,1677,27,6.522452367890957,0.6393798727158873,9,43
51,Guayaquil,Guayas,A,17,32851709.890634,2873614,1713.5444245676804,1685.0,1677,38,11.43219301222572,0.4652684503789727,17,1
52,Manta,Manabi,A,11,2696169.733249,275393,2333.8389830508477,2154.5,118,3,9.7902624004568,0.8477987312578539,54,5
53,Manta,Manabi,D,13,11194840.2896831,1180082,1011.2099400171379,953.0,1167,22,9.486493556958838,0.9023974450136012,45,6
54,El Carmen,Manabi,C,3,11034019.2349069,1451290,865.9248210023866,822.0,1676,28,7.602904474575654,0.5712881135551373,43,26
