store_nbr,city,state,store_type,cluster,total_sales,average_daily_sales,sales_std,coefficient_of_variation,active_days,total_transactions,sales_volume_per_transaction,first_vs_last_90d_growth_proxy,first_window_average_daily_sales,last_window_average_daily_sales,recent_90d_growth,recent_90d_yoy_growth,has_yoy_comparison,recent_90d_sales,previous_90d_sales,yoy_90d_sales,recent_90d_observed_days,previous_90d_observed_days,yoy_90d_observed_days,recent_90d_start_date,recent_90d_end_date,previous_90d_start_date,previous_90d_end_date,yoy_90d_start_date,yoy_90d_end_date,sales_threshold_median,volatility_threshold_median,performance_segment,rank_average_daily_sales,rank_recent_90d_growth,rank_volatility,rank_sales_volume_per_transaction
11,Cayambe,Pichincha,B,6,28325558.481396,16820.402898691213,5044.99640228786,0.299933148609681,1684,3972488,7.130432736712106,0.8056937841794305,11099.231156022222,20041.812707600002,-0.0410980219665188,0.10596641470540578,1,1803763.143684,1881071.459862,1630938.444152,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,11,34,48,33
12,Latacunga,Cotopaxi,C,15,10659217.957236,6329.70187484323,2210.967885716054,0.34930047724732904,1684,1958852,5.44156371039568,0.8662025401170266,4221.906433588889,7878.932510500001,-0.02329181072336412,0.11525658820907325,1,709103.925945,726014.109158,635821.328869,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – stable,43,30,42,51
13,Latacunga,Cotopaxi,C,15,10523045.81794,6248.839559346794,2025.615292202654,0.32415863344943946,1684,1572504,6.691904006565325,0.7239871309079534,4027.8088886111113,6943.890689722222,-0.0175550718744736,0.10137707668055597,1,624950.162075,636117.24605,567426.157042,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – stable,44,26,46,38
14,Riobamba,Chimborazo,C,7,11387918.748218,6762.422059511877,2287.8494329202354,0.3383180482948703,1684,2287850,4.977563541411369,0.6185376021886497,5179.169832733333,8382.6811224,0.006441712064506557,0.15476312126298886,1,754441.301016,749612.513047,653329.922929,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – stable,39,19,44,53
15,Ibarra,Imbabura,C,15,11451270.022648,6800.041581144893,1826.393146123246,0.2685855850039882,1684,2209898,5.181809306424097,0.8247115267824195,4320.689188944444,7884.011366711111,-0.07424108933212917,0.056967453109790483,1,709561.023004,766464.15695,671317.75999,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – stable,37,46,52,52
16,Santo Domingo,Santo Domingo de los Tsachilas,C,3,10986412.5547492,6523.997954126603,2053.2690658015904,0.3147255839500751,1684,1464498,7.501828308914864,0.4782710222329023,4623.203644438889,6834.347977455555,0.04331145321337141,0.07238296095539647,1,615091.317971,589556.758029,573574.311012,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – stable,42,10,47,31
17,Quito,Pichincha,C,12,18030969.250161,10707.226395582542,4446.619251660806,0.4152914197737837,1684,2295485,7.854971498468079,1.4768121707904105,5750.8745232111105,14243.836011777777,-0.07537483068149856,0.02032789963948912,1,1281945.24106,1386448.56705,1256405.163,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – volatile,24,47,23,22
18,Quito,Pichincha,B,16,13259375.6899043,7873.738533197328,3948.410808144781,0.5014658273826919,1684,2071278,6.401543245235213,1.2191939905023705,4864.8381001,10796.019476508889,-0.08904956542149597,0.13187284437616908,1,971641.7528858,1066624.1718578,858437.1978827,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,33,49,11,45
19,Guaranda,Bolivar,C,15,13049509.836733,7749.115104948338,2829.38464195143,0.3651235790967507,1684,2107489,6.191970556777758,1.1240294561161597,4374.3910557888885,9291.335455066666,-0.03605171091936907,0.13132854213534167,1,836220.190956,867494.865055,739148.850057,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – stable,34,32,39,47
20,Quito,Pichincha,B,6,12920954.5928321,7672.775886479869,8763.811483061594,1.1421956815530387,1684,1422539,9.083023096612536,,0.0,16115.74860002111,-0.012030794404912566,0.08292538748553191,1,1450417.3740019,1468079.5370826,1339351.1600736,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,35,22,5,10
21,Santo Domingo,Santo Domingo de los Tsachilas,B,6,9255505.91021,5496.143652143705,6768.344067306599,1.2314714635718604,1684,842891,10.980667619193941,,0.0,13459.053257544445,0.019423628173261376,0.2487621751936908,1,1211314.793179,1188234.95915,970012.398871,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,47,15,3,3
22,Puyo,Pastaza,C,7,4090201.7408,2428.8608912114014,3168.5743938746164,1.304551613202632,1684,504156,8.112968487531637,,0.0,6941.869733033333,0.03433319736716987,0.3118528583187848,1,624768.275973,604029.994941,476248.743913,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,53,12,2,20
23,Ambato,Tungurahua,D,9,11651380.6749087,6918.872134743883,1801.05916176107,0.2603110921383923,1684,1788171,6.51580898857475,0.596900792623314,5108.730103844444,8158.1351521277775,-0.04554675906205004,0.07111976719851938,1,734232.1636915,769269.9151715,685480.920226,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – stable,36,35,53,44
24,Guayaquil,Guayas,D,1,23767732.701713,14113.85552358254,5842.193661407954,0.4139332198523895,1684,3568206,6.660975487881865,0.862351353680718,9608.840421655555,17895.036966572225,0.0037324676473787293,0.04431516339731691,1,1610553.3269915,1604564.342495,1542210.0372,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – volatile,15,20,24,39
25,Salinas,Santa Elena,D,1,11420997.8725745,6782.065244996735,4758.897551527507,0.7016885535034098,1684,1520362,7.512025341711054,0.32838071601266206,6075.635733266667,8070.75734558889,-0.2542272075285959,0.14199248021893626,1,726368.161103,973980.5051025,636053.366099,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,38,54,8,27
26,Guayaquil,Guayas,D,10,7755121.8918648,4605.179270703563,2417.975853426224,0.5250557494707072,1684,1065059,7.281401210510216,0.31948055701760214,3859.963634444445,5093.146966444444,0.02455372043050571,0.13557489565225514,1,458383.22698,447397.9429672,403657.4150547,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,49,14,9,32
27,Daule,Guayas,D,1,19188021.3815342,11394.311984283966,4704.777363357718,0.4129057875409204,1684,2485687,7.719403682577171,1.7545606132505538,5578.2653559,15365.670039622222,-0.001420465234516687,0.0799497826714158,1,1382910.303566,1384877.4738717,1280532.0448745,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – volatile,19,21,26,24
28,Guayaquil,Guayas,E,10,18383154.8339259,10916.3627279845,5109.681521323636,0.468075461456111,1684,1957594,9.390688178409771,2.342943648369946,4619.546633481111,15442.884076744445,0.02892616721398495,0.12460064302989285,1,1389859.566907,1350786.490998,1235869.439984,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – volatile,23,13,14,9
29,Guayaquil,Guayas,E,10,9725157.696084,5775.034261332542,6106.545472562834,1.0574041981793887,1684,981448,9.908989264926925,,0.0,12526.739011955557,0.0183506264697535,0.11308210836066375,1,1127406.511076,1107090.703115,1012869.133919,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,45,16,6,4
30,Guayaquil,Guayas,C,3,7382073.663963,4383.654194752376,1631.613573572073,0.3722039880621194,1684,1171130,6.303376793321835,1.6980796419570332,2430.4988335,6557.679422466666,0.2871274568828732,0.29737208986205516,1,590191.148022,458533.570134,454912.783028,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – stable,51,2,37,46
31,Babahoyo,Los Rios,B,10,17746872.701507,10538.522981892516,4265.052706017304,0.4047106708734797,1684,2306044,7.695808363373378,1.4605423762285543,5657.622888988889,13920.820867077779,0.06850351340175895,0.1364726967247644,1,1252873.878037,1172550.078051,1102423.20968,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,25,6,28,25
32,Guayaquil,Guayas,C,3,5951795.9975515,3534.3206636291566,1519.3455716465596,0.42988334003809536,1684,1065226,5.58735516928004,0.9443967267262345,2451.844255361111,4767.357944566666,-0.16035779602279499,0.2586786991026105,1,429062.215011,511006.013012,340883.034977,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,52,53,19,49
33,Quevedo,Los Rios,C,3,14178501.293449,8419.53758518349,2859.2208621133755,0.33959357425340875,1684,1743003,8.134524893789052,0.9974115115849009,4980.203522266666,9947.51584541111,0.0543560384585156,0.10231362621396224,1,895276.4260869999,849121.542848,812179.40593,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – stable,31,7,43,19
34,Guayaquil,Guayas,B,6,17090734.15915,10148.892018497625,2615.7105886304294,0.2577336111038495,1684,3864018,4.423047242313571,0.5847908411329977,6759.753099733333,10712.794800777778,-0.1085507604499382,0.030196454171423893,1,964151.53207,1081555.168028,935890.944068,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,26,52,54,54
35,Playas,Guayas,C,3,7676679.4216696,4558.598231395249,2353.9101900017668,0.5163671090359078,1684,1123889,6.830460500698556,0.8437772150907278,2940.7818666722223,5422.146600322222,-0.09632481631538811,0.06658222822514198,1,487993.194029,540009.510983,457529.8379395,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,50,51,10,36
36,Libertad,Guayas,E,10,15322431.096578,9098.830817445369,4350.956926301449,0.4781885731911042,1684,1738129,8.815474050877697,,0.0,11787.008910455555,-0.07002293089676595,0.0755539700169438,1,1060830.801941,1140706.407916,986311.083882,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,29,45,13,12
37,Cuenca,Azuay,D,2,19970635.6144784,11859.047277006177,3513.0881673154213,0.2962369645095388,1684,2481719,8.047097844066311,0.8576679339597245,7401.014133594444,13748.62663476111,-0.022675190913435048,0.07352609923849124,1,1237376.3971285,1266085.1189125,1152628.1457025,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,18,29,50,21
38,Loja,Loja,D,4,18859999.2605296,11199.524501502137,4129.17202132078,0.3686917262216761,1684,2867052,6.57818527900073,0.9461704811773982,6890.286389416667,13409.671977941112,0.017794382077145142,0.19491292246013536,1,1206870.4780147,1185770.4259987,1010007.0518359999,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,21,17,38,41
39,Cuenca,Azuay,B,6,20252192.53354,12026.242597114015,5118.0812536468065,0.4255760859900675,1684,2389482,8.475557687205846,1.6539037334916895,6380.561144485555,16933.395043122222,0.046281833573110574,0.1607439884068622,1,1524005.553881,1456591.8139632,1312955.8017119,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – volatile,17,8,20,16
40,Machala,El Oro,C,3,18395757.405968,10923.846440598574,4363.089475500383,0.39940963095974336,1684,2181195,8.433797714540882,2.7087883984055243,4313.380233327778,15997.414567277778,0.04538432242541951,0.19331635187038315,1,1439767.311055,1377261.24275,1206526.089078,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,22,9,29,17
41,Machala,El Oro,D,4,14991039.1385844,8902.042243814964,3946.4385924093085,0.4433183402551531,1684,1764146,8.497618189528758,2.498221907495786,3948.8434563222227,13813.93068817778,0.11000853087625297,0.2977627564363113,1,1243253.761936,1120039.8261395,957997.7201303,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,30,4,18,15
42,Cuenca,Azuay,D,2,8945767.8851627,5312.21370852892,6464.3891626170625,1.2168917738076483,1684,802646,11.145346622499458,,0.0,13075.03246585111,-0.0510015423243132,0.1701660038865878,1,1176752.9219266,1239994.556797,1005629.045809,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,48,36,4,2
43,Esmeraldas,Esmeraldas,E,10,16391692.2119096,9733.783973818052,3696.1949459120556,0.3797284751597207,1684,2182356,7.511007467117922,2.3733413031023,4530.872177851111,15284.178256622223,0.0901944722256812,0.46886461763852766,1,1375576.043096,1261771.251039,936489.330996,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,27,5,32,28
44,Quito,Pichincha,A,5,62087553.250089,36869.09337891271,14704.525436802081,0.3988306760266674,1684,7273093,8.53660928714771,1.0667582948153953,21880.29508851111,45221.28136718889,-0.015011072424513222,0.101473047115399,1,4069915.323047,4131940.176287,3694974.955316,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,1,24,30,14
45,Quito,Pichincha,A,11,54498010.416674,32362.238964770786,13689.660271082603,0.4230133856308592,1684,6201115,8.788421181783276,1.2852377319170596,18272.05702237778,41755.99414727778,-0.02692760525989237,0.13237775919930306,1,3758039.473255,3862034.822454,3318715.3692530002,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – volatile,2,31,22,13
46,Quito,Pichincha,A,14,41896062.1216342,24878.896746813658,11084.244854582437,0.44552798974102586,1684,5990113,6.994202299962321,0.9277422157079215,16264.497073800001,31353.75762642222,-0.03957450122283448,0.2236882712311994,1,2821838.186378,2938112.524054,2306010.650522,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – volatile,6,33,16,35
47,Quito,Pichincha,A,14,50948310.061006,30254.34089133373,12523.214938500894,0.4139311771319445,1684,6535810,7.795255685371209,1.1892053382169931,17662.23527448889,38666.259747755554,-0.05437928492016928,0.1630587932711644,1,3479963.377298,3680083.697198,2992078.644202,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – volatile,3,39,25,23
48,Quito,Pichincha,A,14,35933130.2739365,21337.963345567994,10317.644670141906,0.48353465150576025,1684,5107785,7.034973138833467,0.9038792300808701,13453.035341305555,25612.954567855555,-0.053815258507858475,0.14151370083451195,1,2305165.911107,2436274.6618295,2019393.993626,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – volatile,7,38,12,34
49,Quito,Pichincha,A,11,43420095.783768,25783.904859719714,11904.519734656202,0.461703523939609,1684,4574103,9.492592489449406,2.645473892516368,9724.609521844444,35450.8101268,-0.06084679304633881,0.12207233798350661,1,3190572.911412,3397286.9259120002,2843464.546275,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – volatile,5,43,15,7
50,Ambato,Tungurahua,A,14,28653020.6246953,17014.857853144476,6198.94702653202,0.36432552537524765,1684,4384444,6.535154885019697,0.8616237287014918,11540.158534355556,21483.432960533333,-0.02067642794980789,0.1769951964428913,1,1933508.966448,1974331.080789,1642750.091327,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,10,27,40,43
51,Guayaquil,Guayas,A,17,32911489.537604,19543.639867935868,6439.520989138679,0.32949445613268963,1684,2873614,11.452995961741557,1.0945049874193093,11461.112068377777,24005.35638858889,0.0373558329521379,0.03735883432096339,1,2160482.074973,2082681.762944,2082675.737164,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,8,11,45,1
52,Manta,Manabi,A,11,2696169.733249,1601.0509104804037,5984.923474977776,3.7381219021835905,1684,275393,9.7902624004568,,0.0,22329.78719158889,1.9274776157489537,,1,2009680.847243,686488.886006,0.0,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,54,1,1,5
53,Manta,Manabi,D,13,11216167.2826831,6660.43187807785,5838.502362312684,0.8765951621740228,1684,1180082,9.504566023956896,,0.0,11819.367800377777,-0.01523686496066847,-0.28848844345354235,1,1063743.102034,1080201.993946,1495046.836902,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,40,25,7,6
54,El Carmen,Manabi,C,3,11057483.1179049,6566.201376428087,2785.0237062094884,0.42414533861349507,1684,1451290,7.6190720792570055,1.673747648881679,3856.4464557999995,10311.164644233333,0.22550857815285305,0.2783629158495944,1,928004.8179810001,757240.573036,725932.211014,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,41,3,21,26
