year_month,total_sales,total_transactions,store_day_count,sales_volume_per_transaction,previous_total_sales,previous_total_transactions,previous_sales_volume_per_transaction,sales_change,transaction_effect,volume_per_transaction_effect,interaction_effect,sales_change_direction,dominant_change_driver
2013-12,15803117.14936772,2962866,1410,5.33372658411407,12356559.29256016,2369866.0,5.214032899986818,3446557.8568075597,3091921.509692183,283657.9924279153,70978.3546874607,Increase,Transactions
2014-01,18908494.55743146,2393528,1411,7.899842641252352,15803117.14936772,2962866.0,5.33372658411407,3105377.4080637395,-3036693.2259463365,7603058.017749072,-1460987.383738995,Increase,Sales volume per transaction
2014-02,12038352.635157585,2278167,1316,5.284227466712311,18908494.55743146,2393528.0,7.899842641252352,-6870141.922273874,-911333.7469375127,-6260548.157486475,301739.9821501137,Decrease,Sales volume per transaction
2014-03,20357569.85787636,2545427,1456,7.99770327645474,12038352.635157585,2278167.0,5.284227466712311,8319217.222718775,1412262.6327535321,6181751.045053481,725203.5449117617,Increase,Sales volume per transaction
2014-04,12861251.058277905,2455666,1393,5.23737798962803,20357569.85787636,2545427.0,7.99770327645474,-7496318.799598455,-717881.8437978539,-7026206.513871454,247769.5580708524,Decrease,Sales volume per transaction
2014-05,13379785.259819508,2503262,1429,5.344940026181641,12861251.058277905,2455666.0,5.23737798962803,518534.2015416026,249278.2427943357,264136.4360554607,5119.522691805689,Increase,Sales volume per transaction
2014-06,13319958.173671901,2399144,1410,5.551962772418788,13379785.259819508,2503262.0,5.344940026181641,-59827.08614760637,-556504.4656459801,518232.1737910931,-21554.79429271927,Decrease,Transactions
2014-07,19421891.04268837,2442341,1465,7.952161898231398,13319958.173671901,2399144.0,5.551962772418788,6101932.8690164685,239828.13588017438,5758423.331498568,103681.40163772731,Increase,Sales volume per transaction
2014-08,13885176.418912798,2537572,1460,5.471835446999257,19421891.04268837,2442341.0,7.952161898231398,-5536714.623775572,757292.3297304743,-6057802.985228759,-236203.96827728805,Decrease,Sales volume per transaction
2014-09,20022416.11701855,2449131,1430,8.175314475631785,13885176.418912798,2537572.0,5.471835446999257,6137239.6981057525,-483934.59876806126,6860272.685645102,-239098.3887712894,Increase,Sales volume per transaction
2014-10,20396101.315059185,2503310,1488,8.147653033407442,20022416.11701855,2449131.0,8.175314475631785,373685.1980406344,442930.3629752545,-67746.49565634651,-1498.6692782726598,Increase,Transactions
2014-11,20531635.210478246,2450298,1440,8.379240080381344,20396101.315059185,2503310.0,8.147653033407442,135533.89541906118,-431923.38260699535,579734.1705602371,-12276.892534180462,Increase,Sales volume per transaction
2014-12,24340454.367969543,3049083,1440,7.982876939712544,20531635.210478246,2450298.0,8.379240080381344,3808819.1574912965,5017363.271531143,-971207.8108544776,-237336.303185367,Increase,Transactions
2015-01,14896922.056763649,2489059,1441,5.9849614078106015,24340454.367969543,3049083.0,7.982876939712544,-9443532.311205894,-4470602.675285578,-6091810.283758172,1118880.6478378535,Decrease,Sales volume per transaction
2015-02,13742395.846306562,2345984,1360,5.857838692125164,14896922.056763649,2489059.0,5.9849614078106015,-1154526.2104570866,-856298.3534225018,-316415.93958127836,18188.082546693913,Decrease,Transactions
2015-03,15598607.514175415,2625500,1529,5.941195015873325,13742395.846306562,2345984.0,5.857838692125164,1856211.6678688526,1637359.6398680576,195552.60181200557,23299.426188790952,Increase,Transactions
2015-04,14955068.1708467,2533355,1470,5.903265894770651,15598607.514175415,2625500.0,5.941195015873325,-643539.3433287144,-547451.4147376475,-99582.90745507232,3494.9788640059564,Decrease,Transactions
2015-05,17730368.241957307,2673911,1522,6.630874491319011,14955068.1708467,2533355.0,5.903265894770651,2775300.071110606,829739.4411053836,1843290.8761087707,102269.7538964513,Increase,Sales volume per transaction
2015-06,21615360.351748765,2530903,1500,8.540572416939236,17730368.241957307,2673911.0,6.630874491319011,3884992.1097914577,-948268.0992545491,5106362.289993103,-273102.08094709716,Increase,Sales volume per transaction
2015-07,22209619.029412925,2604784,1557,8.526472455840072,21615360.351748765,2530903.0,8.540572416939236,594258.6776641607,630986.0307358877,-35685.63384575888,-1041.7192259673768,Increase,Transactions
2015-08,22963674.238241255,2675057,1592,8.584368197851955,22209619.029412925,2604784.0,8.526472455840072,754055.20882833,599180.7988892493,150805.90246068142,4068.5074784010753,Increase,Transactions
2015-09,23240882.48133059,2545252,1560,9.13107326163798,22963674.238241255,2675057.0,8.584368197851955,277208.2430893332,-1114293.913922173,1462467.2078162518,-70965.05080474494,Increase,Sales volume per transaction
2015-10,23878267.65504527,2610484,1635,9.14706531625755,23240882.48133059,2545252.0,9.13107326163798,637385.1737146825,595638.1710031687,40703.80900456974,1043.1937069437893,Increase,Transactions
2015-11,22804953.362606168,2528193,1590,9.020258090504234,23878267.65504527,2610484.0,9.14706531625755,-1073314.2924391031,-752721.15194015,-331028.2339134192,10435.093414466122,Decrease,Transactions
2015-12,27243981.680109024,3149888,1590,8.649190599827367,22804953.362606168,2528193.0,9.020258090504234,4439028.317502856,5607849.35357603,-938130.2324568186,-230690.8036163544,Increase,Transactions
2016-01,21647461.55009967,2371205,1481,9.129308326399308,27243981.680109024,3149888.0,8.649190599827367,-5596520.130009353,-6734977.683845374,1512317.0655162358,-373859.51168021816,Decrease,Transactions
2016-02,21947408.798550606,2465798,1537,8.90073266283394,21647461.55009967,2371205.0,9.129308326399308,299947.2484509349,863568.6625190896,-541999.7563245167,-21621.65774363879,Increase,Transactions
2016-03,23131780.884577096,2607658,1641,8.870711145624577,21947408.798550606,2465798.0,8.90073266283394,1184372.0860264897,1262657.9355496229,-74026.9970918128,-4258.852431320231,Increase,Transactions
2016-04,25963025.099165916,2631797,1590,9.865132112836179,23131780.884577096,2607658.0,8.870711145624577,2831244.214588821,214130.09634423166,2593109.79051707,24004.327727520846,Increase,Sales volume per transaction
2016-05,24779432.257145226,2666157,1643,9.294063424301429,25963025.099165916,2631797.0,9.865132112836179,-1183592.8420206904,338965.9393970511,-1502936.8612796883,-19621.920138053996,Decrease,Sales volume per transaction
2016-06,22209218.577477783,2491063,1590,8.91555877048384,24779432.257145226,2666157.0,9.294063424301429,-2570213.679667443,-1627334.7412146344,-1009152.8323083437,66273.89385553707,Decrease,Transactions
2016-07,23462672.425807387,2594087,1643,9.044674456102431,22209218.577477783,2491063.0,8.91555877048384,1253453.8483296037,918516.526770327,321635.30716410605,13302.0143951698,Increase,Transactions
2016-08,22452414.31682402,2536111,1616,8.853088179824944,23462672.425807387,2594087.0,9.044674456102431,-1010258.1089833677,-524374.0462669946,-496991.4686698378,11107.405953463594,Decrease,Transactions
2016-09,22390039.48695326,2436974,1528,9.187639870984778,22452414.31682402,2536111.0,8.853088179824944,-62374.82987076044,-877668.6028833055,848460.2240190591,-33166.451006512514,Decrease,Transactions
2016-10,24030389.815037727,2526000,1586,9.513218454092529,22390039.48695326,2436974.0,9.187639870984778,1640350.3280844688,817938.8271542909,793426.5419904276,28984.95893975061,Increase,Sales volume per transaction
2016-11,24642640.20532018,2529516,1556,9.742037688364169,24030389.815037727,2526000.0,9.513218454092529,612250.3902824521,33448.47608458933,577997.3857701626,804.5284276990861,Increase,Sales volume per transaction
2016-12,29640287.590883553,3195971,1588,9.27426675363561,24642640.20532018,2529516.0,9.742037688364169,4997647.385563374,6492629.727598743,-1183234.0637308462,-311748.2783045219,Increase,Transactions
2017-01,26328159.93449664,2612848,1591,10.076422330918845,29640287.590883553,3195971.0,9.27426675363561,-3312127.656386912,-5408038.252180258,2563665.962485479,-467755.3666921321,Decrease,Transactions
2017-02,23250112.363260746,2448370,1484,9.496159634067052,26328159.93449664,2612848.0,10.076422330918845,-3078047.571235895,-1657349.79214487,-1516138.2269438147,95440.44785278928,Decrease,Transactions
2017-03,26704017.697532892,2680645,1643,9.961788188116254,23250112.363260746,2448370.0,9.496159634067052,3453905.334272146,2205720.4790029246,1140030.9828774442,108153.87239177835,Increase,Transactions
2017-04,25895308.486348033,2667808,1601,9.706586263459752,26704017.697532892,2680645.0,9.961788188116254,-808709.2111848593,-127879.47497084834,-684105.7633208289,3276.0271068155166,Decrease,Sales volume per transaction
2017-05,26911847.246556014,2801884,1674,9.60491128346356,25895308.486348033,2667808.0,9.706586263459752,1016538.7602079809,1301420.2598596297,-271249.3250336804,-13632.174617969411,Increase,Transactions
2017-06,25682822.127358675,2668863,1620,9.623132445299243,26911847.246556014,2801884.0,9.60491128346356,-1229025.1191973388,-1277654.903837606,51053.58180881116,-2423.797168544404,Decrease,Transactions
2017-07,27011477.56818223,2784026,1674,9.702307941155086,25682822.127358675,2668863.0,9.623132445299243,1328655.440823555,1108228.8017979967,211308.55139631225,9118.087629246427,Increase,Transactions
2017-08,12433322.937497616,1335692,810,9.308525421652309,27011477.56818223,2784026.0,9.702307941155086,-14578154.630684614,-14052182.46964491,-1096300.7726412374,570328.6116015345,Decrease,Transactions
